timestamp,ax,ay,az,gx,gy,gz,mag_acc,mag_gyro,diff_acc,diff_gyro,diff_time,label
962,1.79,1.27,6.93,0.43,-0.15,1.07,7.269243427,1.162884345,,,,0
1963,3.15,1.08,6.25,-0.16,0.18,0.12,7.081765317,0.269072481,-0.18747811,-0.893811864,1001,0
2969,-0.08,-0.93,6.83,0,-0.04,-0.15,6.893489682,0.155241747,-0.188275634,-0.113830734,1006,0
3970,1.19,-1.82,7.36,0.02,0.24,-0.66,7.674509756,0.702566723,0.781020074,0.547324976,1001,0
4976,4.48,1.61,8.03,-0.08,-0.32,-0.37,9.335062935,0.495681349,1.660553179,-0.206885374,1006,0
5977,4,-1.4,2.64,-0.25,-2.93,-0.03,4.992955037,2.940799211,-4.342107898,2.445117862,1001,0
7983,0.99,5.61,4.22,-1.27,-0.72,-0.25,7.089471066,1.481148203,2.096516029,-1.459651008,2006,0
8989,4.98,2.56,4.52,0.22,-0.35,1.36,7.196137853,1.421442929,0.106666787,-0.059705274,1006,0
10995,0.42,0.45,6.99,0.35,0.46,0.99,7.017050662,1.146385624,-0.179087191,-0.275057304,2006,0
11996,0.22,3.01,8.24,-0.25,0.74,1.33,8.77531196,1.542400726,1.758261298,0.396015102,1001,0
13002,1.03,2.98,6.24,-0.24,-0.86,1,6.991344649,1.340596882,-1.783967311,-0.201803844,1006,0
14003,0.77,3.85,5.45,0.15,0.18,-0.44,6.716985931,0.498497743,-0.274358718,-0.842099139,1001,0
15009,3.42,3.17,5.87,-0.26,-0.13,-0.11,7.496812656,0.310805405,0.779826725,-0.187692338,1006,0
16010,-1.15,-1.13,5.71,0.07,0.03,-0.12,5.933253745,0.142126704,-1.563558911,-0.168678701,1001,1
17016,2.52,0.85,4.79,-0.14,-0.61,-0.24,5.478777236,0.670298441,-0.454476509,0.528171737,1006,1
18017,-0.91,-0.63,7.01,-0.07,-0.15,-0.04,7.096837324,0.170293864,1.618060088,-0.500004577,1001,1
24033,-1.4,-0.63,6.65,-0.02,0.15,0.04,6.824910256,0.156524758,-0.271927068,-0.013769105,6016,0
25039,3.81,0.73,5.5,0.33,0.47,-0.63,6.730453179,0.852467008,-0.094457076,0.69594225,1006,0
26040,1.3,4.59,5.34,-0.42,-0.38,-1.52,7.16056562,1.622097408,0.430112441,0.7696304,1001,0
27046,1.27,3.45,6.2,0.01,-0.44,0.17,7.208009434,0.471805044,0.047443814,-1.150292363,1006,0
28047,-0.11,2.91,6.82,-0.12,0.07,0.41,7.415699562,0.432897216,0.207690128,-0.038907828,1001,0
29053,1.32,1.82,7.8,-0.28,0.66,2.01,8.11756121,2.134033739,0.701861648,1.701136523,1006,0
30054,2.49,0.09,7.02,0.07,0.35,1.01,7.449067056,1.071214264,-0.668494154,-1.062819475,1001,0
31060,-1.69,0.33,7.46,-0.45,-0.04,-0.04,7.656147856,0.453541619,0.207080801,-0.617672645,1006,0
32061,-0.64,-0.05,6.86,-0.11,0.02,-0.23,6.889970972,0.255734237,-0.766176884,-0.197807382,1001,0
33067,1.96,0.31,7.29,-0.29,-1.6,-1.38,7.55524983,2.132721266,0.665278858,1.876987029,1006,0
34068,4.14,1.7,6.09,-0.55,-0.98,-1.55,7.557625288,1.914523439,0.002375458,-0.218197827,1001,0
35074,-1.26,-0.08,7.68,0.18,1.09,1.02,7.783084222,1.503628944,0.225458933,-0.410894496,1006,0
